City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
256,Ascension,US,86.07,clear sky,30.2169,-90.9001,Highland Inn
257,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
259,Alugan,PH,80.62,overcast clouds,12.2188,125.4808,JM Lodge
260,Talusan,PH,80.89,overcast clouds,7.4267,122.8103,Niesas Lodging House
266,Abnub,EG,81.46,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
269,San Patricio,US,86.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
270,Bengkulu,ID,76.23,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
273,Jega,NG,83.07,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
276,Hasaki,JP,76.21,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
283,Salinas,US,82.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
286,Key West,US,87.8,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
289,Barbacoas,CO,80.4,moderate rain,1.6715,-78.1398,edificio justin
290,Orotina,CR,83.91,overcast clouds,9.912,-84.5234,Hotel Iguana Verde
294,Barra Do Garcas,BR,88.38,few clouds,-15.89,-52.2567,Pousada Tropical
297,Merauke,ID,78.73,overcast clouds,-8.4667,140.3333,
299,Russell,US,80.01,clear sky,32.3502,-85.1999,Macs
305,Tabou,CI,76.1,light rain,4.423,-7.3528,hotêl doufoulougou
307,Santa Fe,AR,81.01,clear sky,-31.6333,-60.7,Conquistador Hotel
311,Kloulklubed,PW,82.11,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
312,Singaraja,ID,79.16,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
325,Shwebo,MM,75.18,overcast clouds,22.5667,95.7,MOON SHINE Guest House
327,Vila Franca Do Campo,PT,76.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
329,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
336,Los Llanos De Aridane,ES,75.13,overcast clouds,28.6585,-17.9182,Valle Aridane
337,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
338,Kaputa,ZM,76.03,clear sky,-8.4689,29.6619,Chelelwa Charlets
339,Leander,US,89.19,broken clouds,30.5788,-97.8531,Leander / NW Austin KOA Holiday
341,Majene,ID,77.74,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
342,Sao Filipe,CV,79.41,light rain,14.8961,-24.4956,Hotel Xaguate
347,La Union,PE,78.49,broken clouds,-5.4,-80.75,Los Portales
352,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Asterión Departamentos
353,Katsuura,JP,75.0,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
355,Bambanglipuro,ID,76.37,light rain,-7.95,110.2833,Puri Brata
356,Pochutla,MX,87.62,few clouds,15.7432,-96.4661,Hotel Posada San Jose
359,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
360,Srandakan,ID,76.46,light rain,-7.9386,110.2506,Puri Brata
363,Phatthalung,TH,77.88,overcast clouds,7.5,100.0833,Ozone Resort & Pool Villa
365,Tambacounda,SN,82.45,thunderstorm,13.7539,-13.7586,
366,Jutai,BR,84.63,broken clouds,-5.1833,-68.9,
373,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Pousada Camboinha
379,Mitu,CO,81.73,broken clouds,1.1983,-70.1733,
382,Kirakira,SB,81.0,broken clouds,-10.4544,161.9205,SanBiz Lodge
389,Kupang,ID,78.37,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
391,Tiznit,MA,79.72,clear sky,29.5833,-9.5,
392,Cordoba,AR,82.42,clear sky,-31.4135,-64.1811,Hotel Sussex
394,Rabo De Peixe,PT,75.27,broken clouds,37.8,-25.5833,Quinta das Giestas
400,Rome,US,77.47,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
401,Portland,US,82.47,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
409,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
412,Port Blair,IN,80.83,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
416,Kudahuvadhoo,MV,82.11,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
421,Wenling,CN,76.08,clear sky,28.3669,121.36,Hanting Express Wenling Wanchang North Road
425,Machinga,MW,75.94,broken clouds,-15.1685,35.3,
427,Sabang,ID,80.15,overcast clouds,5.8933,95.3214,Hotel Citra
431,Golden,US,75.18,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
436,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Green leaf
438,Itarema,BR,78.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
443,Benghazi,LY,75.61,few clouds,32.1167,20.0667,Tibesti Hotel
444,Canmore,CA,75.31,clear sky,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
445,Tomatlan,MX,75.74,overcast clouds,19.9333,-105.25,El Salvial
446,Kailua,US,85.98,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
451,Dwarka,IN,81.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
453,Half Moon Bay,US,80.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
454,Hirara,JP,81.09,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
455,Kalmunai,LK,79.12,overcast clouds,7.4167,81.8167,VS Villa
456,Burdeos,PH,78.73,overcast clouds,14.8436,121.9697,Queen Margarette Hotel Burdeos
457,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
461,Paciran,ID,77.31,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
465,Faanui,PF,78.66,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
466,San Angelo,US,86.11,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
468,Burkburnett,US,85.89,clear sky,34.0979,-98.5706,Best Western Red River Inn
469,Soure,BR,80.1,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
470,Paraopeba,BR,76.28,few clouds,-19.2757,-44.4033,HC Hotel Paraopeba
471,Seminole,US,80.96,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
473,Miraflores,MX,75.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
478,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Beach Rotana
481,San Jose,US,82.69,clear sky,37.3394,-121.895,The Westin San Jose
485,Iquitos,PE,87.84,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
486,Marsh Harbour,BS,80.62,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
492,Chapada Dos Guimaraes,BR,82.06,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
493,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
496,Sao Gabriel Da Cachoeira,BR,80.92,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
501,Esna,EG,85.12,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
