City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Constantine,DZ,2022-09-29 16:21:27,36.365,6.6147,80.01,22,0,11.5
68,Riberalta,BO,2022-09-29 16:21:29,-10.9833,-66.1,71.8,83,100,13.8
69,Nyurba,RU,2022-09-29 16:21:30,63.2842,118.3319,24.37,93,80,3.69
70,Port-Gentil,GA,2022-09-29 16:21:31,-0.7193,8.7815,82.36,69,40,10.36
71,Barrow,US,2022-09-29 16:21:19,71.2906,-156.7887,30.22,93,100,17.27
72,Lebu,CL,2022-09-29 16:17:55,-37.6167,-73.65,55.83,76,81,13.8
73,Maniitsoq,GL,2022-09-29 16:21:32,65.4167,-52.9,40.62,82,100,3.58
74,Bredasdorp,ZA,2022-09-29 16:21:33,-34.5322,20.0403,60.42,76,100,9.26
75,Albany,US,2022-09-29 16:21:34,42.6001,-73.9662,59.18,65,28,8.43
76,Olinda,BR,2022-09-29 16:21:35,-8.0089,-34.8553,82.13,61,40,11.5
77,Jamestown,US,2022-09-29 16:21:35,42.097,-79.2353,53.51,56,100,8.05
78,Kemijarvi,FI,2022-09-29 16:21:36,66.7131,27.4306,38.75,81,78,8.75
79,Cherskiy,RU,2022-09-29 16:21:36,68.75,161.3,25.0,62,6,5.73
80,Vila Franca Do Campo,PT,2022-09-29 16:21:37,37.7167,-25.4333,72.01,61,18,6.49
81,Chuy,UY,2022-09-29 16:21:38,-33.6971,-53.4616,60.64,54,74,9.66
82,Thompson,CA,2022-09-29 16:21:39,55.7435,-97.8558,50.16,93,100,11.5
83,Guerrero Negro,MX,2022-09-29 16:21:39,27.9769,-114.0611,75.72,71,0,8.05
84,Tingo Maria,PE,2022-09-29 16:21:40,-9.2895,-76.0088,82.71,61,20,4.61
85,Muros,ES,2022-09-29 16:21:40,42.7762,-9.0603,67.08,64,14,12.73
86,Sibolga,ID,2022-09-29 16:21:42,1.7427,98.7792,75.69,88,100,2.46
87,Villaviciosa,ES,2022-09-29 16:22:43,43.4813,-5.4357,64.17,79,100,10.04
88,Cidreira,BR,2022-09-29 16:22:43,-30.1811,-50.2056,63.19,56,100,11.05
89,Grindavik,IS,2022-09-29 16:22:44,63.8424,-22.4338,50.47,100,100,20.71
90,Gwadar,PK,2022-09-29 16:22:45,25.1216,62.3254,79.41,74,1,8.79
